run_id,epoch,mem_lambda,write_threshold,avg_write_ratio,train_loss,val_loss_mem,val_acc_mem,val_loss_nomem,val_acc_nomem
ml0.05_wt0.3_s2_f4d4b41c,1,0.05,0.3,0.063996875,2.355194163131714,2.3228419132232667,0.126,2.3228419132232667,0.126
ml0.05_wt0.3_s2_f4d4b41c,2,0.05,0.3,0.0,2.2835390647888185,2.2683563175201416,0.144,2.2683563175201416,0.144
ml0.05_wt0.3_s2_f4d4b41c,3,0.05,0.3,0.0,2.268281921005249,2.2557246074676516,0.174,2.2557246074676516,0.174
ml0.05_wt0.3_s2_f4d4b41c,4,0.05,0.3,0.0,2.2355676235198976,2.2493478260040285,0.16,2.2493478260040285,0.16
ml0.05_wt0.3_s2_f4d4b41c,5,0.05,0.3,0.0,2.2079920783996583,2.2340281944274905,0.18,2.2340281944274905,0.18
ml0.05_wt0.3_s2_f4d4b41c,6,0.05,0.3,0.0,2.195479014587402,2.2493402156829836,0.16,2.2493402156829836,0.16
ml0.05_wt0.3_s2_f4d4b41c,7,0.05,0.3,0.0,2.173640455245972,2.2738340072631837,0.164,2.2738340072631837,0.164
ml0.05_wt0.3_s2_f4d4b41c,8,0.05,0.3,0.0,2.143617332649231,2.319692916870117,0.159,2.319692916870117,0.159
ml0.05_wt0.3_s2_f4d4b41c,9,0.05,0.3,0.0,2.133796123123169,2.2903003463745115,0.165,2.2903003463745115,0.165
ml0.05_wt0.3_s2_f4d4b41c,10,0.05,0.3,0.0,2.121900696182251,2.2774997177124026,0.171,2.2774997177124026,0.171
ml0.05_wt0.3_s2_f4d4b41c,11,0.05,0.3,0.0,2.084755779838562,2.3491510486602785,0.158,2.3491510486602785,0.158
ml0.05_wt0.3_s2_f4d4b41c,12,0.05,0.3,0.0,2.0756955947875975,2.316818078994751,0.157,2.316818078994751,0.157
ml0.05_wt0.3_s2_f4d4b41c,13,0.05,0.3,0.0,2.036219885635376,2.3566512241363524,0.15,2.3566512241363524,0.15
ml0.05_wt0.3_s2_f4d4b41c,14,0.05,0.3,0.0,2.0171333892822267,2.3101335334777833,0.172,2.3101335334777833,0.172
ml0.05_wt0.3_s2_f4d4b41c,15,0.05,0.3,0.0,1.9792711376190186,2.402238443374634,0.158,2.402238443374634,0.158
ml0.05_wt0.3_s2_f4d4b41c,16,0.05,0.3,0.0,1.9631957752227782,2.3895065517425538,0.166,2.3895065517425538,0.166
ml0.05_wt0.3_s2_f4d4b41c,17,0.05,0.3,0.0,1.9149701707839966,2.501860242843628,0.153,2.501860242843628,0.153
ml0.05_wt0.3_s2_f4d4b41c,18,0.05,0.3,0.0,1.9082303770065308,2.418394578933716,0.172,2.418394578933716,0.172
ml0.05_wt0.3_s2_f4d4b41c,19,0.05,0.3,0.0,1.867827638053894,2.425274320602417,0.182,2.425274320602417,0.182
ml0.05_wt0.3_s2_f4d4b41c,20,0.05,0.3,0.0,1.8444528350830078,2.5257705535888673,0.16,2.5257705535888673,0.16
