mem_lambda,write_threshold,runs,write_ratio_mean,write_ratio_std,acc_mem_mean,acc_mem_std,acc_nomem_mean,acc_nomem_std
0.0,0.3,3,0.9999989583333333,1.8042195911973509e-06,0.14333333333333334,0.007767453465154019,0.145,0.006557438524301985
0.0,0.5,3,0.4660552083333333,0.34642044713709014,0.161,0.004582575694955844,0.157,0.0034641016151377574
0.0,0.7,3,1.0416666666666667e-06,1.8042195912175806e-06,0.15833333333333333,0.007094598884597591,0.15833333333333333,0.007094598884597591
0.05,0.3,3,0.0,0.0,0.16366666666666665,0.012897028081435401,0.16366666666666665,0.012897028081435401
0.05,0.5,3,0.0,0.0,0.154,0.012767145334803697,0.154,0.012767145334803697
0.05,0.7,3,0.0,0.0,0.15233333333333332,0.006429100507328645,0.15233333333333332,0.006429100507328645
0.1,0.3,3,0.0,0.0,0.15766666666666665,0.008144527815247085,0.15766666666666665,0.008144527815247085
0.1,0.5,4,0.0,0.0,0.1445,0.017990738358018194,0.1445,0.017990738358018194
0.1,0.7,3,0.0,0.0,0.15766666666666665,0.0047258156262526135,0.15766666666666665,0.0047258156262526135
0.2,0.3,3,0.0,0.0,0.14966666666666664,0.0055075705472861025,0.14966666666666664,0.0055075705472861025
0.2,0.5,3,0.0,0.0,0.15366666666666665,0.010408329997330672,0.15366666666666665,0.010408329997330672
0.2,0.7,3,0.0,0.0,0.15966666666666665,0.00814452781524708,0.15966666666666665,0.00814452781524708
